AreaName,Base,Proj,Change,PercentChange,AvgAnnualOpenings
United States,297100,306200,9100,3.1,7840
Alabama,5280,5520,240,4.6,150
Alaska,400,440,40,11.4,10
Arizona,6860,8190,1330,19.4,290
Arkansas,2930,3080,150,5.2,80
California,29100,31300,2200,7.6,900
Colorado,4910,6320,1410,28.5,260
Connecticut,2810,2760,-50,-1.7,70
Delaware,810,860,50,5.9,20
District of Columbia,720,760,40,5.3,20
Florida,19990,22920,2930,14.7,760
Georgia,9430,10070,640,6.8,280
Hawaii,1190,1240,50,4,30
Idaho,1350,1530,180,12.9,490
Illinois,11290,11500,210,1.9,290
Indiana,6370,6750,380,5.9,190
Iowa,3190,3360,170,5.5,90
Kansas,3300,3640,340,10.4,110
Kentucky,5250,6310,1060,20.2,230
Louisiana,4460,4690,230,5.2,130
Maine,1270,1280,10,0.3,30
Maryland,7470,8550,1080,14.4,290
Massachusetts,6990,7170,180,2.6,180
Michigan,9020,9220,200,2.2,230
Minnesota,5180,5220,40,0.9,130
Mississippi,2680,2860,180,6.7,80
Missouri,6100,6630,530,8.6,190
Montana,1210,1360,150,11.9,40
Nebraska,2510,2660,150,5.9,70
Nevada,2000,2400,400,20.1,90
New Hampshire,1090,1130,40,3.9,30
New Jersey,8790,9020,230,2.6,230
New Mexico,1730,1890,160,9.2,60
New York,19640,20690,1050,5.4,560
North Carolina,9240,10440,1200,13,340
North Dakota,760,820,60,8,20
Ohio,11770,12160,390,3.3,310
Oklahoma,4160,4440,280,6.7,130
Oregon,3750,4170,420,11.2,130
Pennsylvania,12470,12560,90,0.7,300
Puerto Rico,2270,2420,150,6.5,70
Rhode Island,1250,1290,40,3.7,30
South Carolina,4930,5010,80,1.5,120
South Dakota,1170,1220,50,3.6,30
Tennessee,7290,8540,1250,17.2,300
Texas,20650,24610,3960,19.2,880
Utah,2370,2900,530,22.3,110
Vermont,510,510,0,-0.2,10
Virginia,7090,7450,360,5.2,200
Washington,6030,7080,1050,17.4,260
West Virginia,2390,2460,70,3,60
Wisconsin,5490,5630,140,2.7,140
Wyoming,530,560,30,6.2,20
